station,name,lon,lat,trafic,main,ratpId,ratpx,ratpy,corr
173,Montgallet,2.38997429609298,48.8442763527355,1793225,554,1750,6056,5219,0
174,Montparnasse — Bienvenüe,2.323072,48.843466,31152275,555,1751,3508,5595,1
175,Mouton-Duvernet,2.330325,48.832139,1690457,556,1753,4064,6119,0
176,Nation,2.3958,48.848389,9481963,557,1758,6292,4827,1
177,Nationale,2.36277777777778,48.8331944444444,2626967,558,1761,5132,6138,0
178,Notre-Dame-de-Lorette,2.33734130859375,48.8760395632054,2849349,559,1767,3856,2947,0
179,Notre-Dame-des-Champs,2.32878774404525,48.8445676070391,2030493,560,1768,3636,5435,0
180,Oberkampf,2.368877,48.864545,4198870,561,1769,5376,3687,1
181,Odéon,2.338951,48.852066,6239672,562,1770,3940,4911,1
182,Olympiades,2.36828058958053,48.827262397569,7245724,563,171507,5472,6334,0
183,Opéra,2.33235239982604,48.8706359467089,12389715,564,1771,3384,3547,1
184,Ourcq,2.38574713468551,48.8868556274062,3887042,565,1773,6008,2235,0
185,Palais Royal — Musée du Louvre,2.336578,48.862644,9559535,566,1774,3392,4207,1
186,Parmentier,2.374381,48.865299,3357432,567,1779,5832,3687,0
187,Passy,2.285779,48.857445,3918954,568,1780,1512,4619,0
188,Pasteur,2.31268107891082,48.8428359429132,5089504,569,1781,3064,5663,1
189,Pelleport,2.40175187587738,48.8686705297645,364642,570,1782,6748,3503,0
190,Père Lachaise,2.387388,48.862921,4880201,571,1741,6220,3795,1
191,Pereire,2.299211,48.884648,4678888,572,1740,2384,2299,0
192,Pernety,2.3185122013092,48.8342102693598,3275971,573,1783,3376,6102,0
193,Philippe Auguste,2.390938,48.858021,1813811,574,1784,6224,4011,0
194,Picpus,2.40049391984939,48.8451501105649,1496432,575,1785,6540,5095,0
195,Pierre et Marie Curie,2.37789362668991,48.8159177278937,1416989,576,1786,5744,6682,0
196,Pigalle,2.337573,48.882255,6172069,577,1787,3924,2371,1
197,Place de Clichy,2.327625,48.883809,9255747,578,1790,3140,2371,1
198,Place des Fêtes,2.39295959472656,48.8768404413532,12168442,579,1792,6476,2971,1
199,Place d'Italie,2.35559444444444,48.8321638888889,3265485,580,1789,4884,6142,1
200,Place Monge,2.352279,48.84359,2927184,581,1788,4548,5459,0
201,Plaisance,2.31374055147171,48.831553064954,4645997,582,1705,3184,6275,0
202,Poissonnière,2.3484456539154,48.8770750574131,3570062,583,1706,4428,2859,0
203,Pont de Levallois — Bécon,2.280787,48.897313,5085695,584,1708,1952,1884,0
204,Pont de Neuilly,2.259775,48.884968,6794402,585,1709,1228,2603,0
205,Pont de Sèvres,2.23103463649749,48.8297467917358,4352829,586,1710,708,6498,0
206,Pont Marie,2.35761612653732,48.8532867998659,1595098,587,1711,4588,4499,0
